COURSE_ACAD_YR,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,ELR2B2_YEAR,COURSE_URL,NEW_COURSE
2019/20,NYP,C51,Aeronautical & Aerospace Technology,ENGINEERING,15,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/aeronautical-and-aerospace-technology.html,No
2019/20,NYP,C52,Aerospace Systems & Management,ENGINEERING,15,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-systems-and-management.html,No
2019/20,NYP,C54,Cybersecurity & Digital Forensics,INFORMATION & DIGITAL TECHNOLOGIES,10,2018,http://www.nyp.edu.sg/schools/sit/full-time-courses/cybersecurity-and-digital-forensics.html,No
2019/20,NYP,C57,Digital Visual Effects,INFORMATION & DIGITAL TECHNOLOGIES,17,2018,http://www.nyp.edu.sg/schools/sidm/full-time-courses/digital-visual-effects.html,No
2019/20,NYP,C59,Interaction Design,MEDIA & DESIGN,20,2018,http://www.nyp.edu.sg/schools/sidm/full-time-courses/interaction-design.html,No
2019/20,NYP,C60,Digital Game Art & Design,MEDIA & DESIGN,14,2018,http://www.nyp.edu.sg/schools/sidm/full-time-courses/digital-game-art-and-design.html,No
2019/20,NYP,C61,Animation,MEDIA & DESIGN,11,2018,http://www.nyp.edu.sg/schools/sidm/full-time-courses/animation.html,No
2019/20,NYP,C62,Digital & Precision Engineering,ENGINEERING,26,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/digital-and-precision-engineering.html,No
2019/20,NYP,C63,Visual Communication,MEDIA & DESIGN,19,2018,http://www.nyp.edu.sg/schools/sdn/full-time-courses/visual-communication.html,No
2019/20,NYP,C64,Spatial Design,MEDIA & DESIGN,20,2018,http://www.nyp.edu.sg/schools/sdn/full-time-courses/spatial-design.html,No
2019/20,NYP,C65,Pharmaceutical Science,APPLIED SCIENCES,11,2018,http://www.nyp.edu.sg/schools/scl/full-time-courses/diploma-in-pharmaceutical-science.html,No
2019/20,NYP,C66,Motion Graphics & Broadcast Design,MEDIA & DESIGN,19,2018,http://www.nyp.edu.sg/schools/sidm/full-time-courses/motion-graphics-and-broadcast-design.html,No
2019/20,NYP,C67,Hospitality & Tourism Management,BUSINESS & MANAGEMENT,16,2018,http://www.nyp.edu.sg/schools/sbm/full-time-courses/hospitality-and-tourism-management.html,No
2019/20,NYP,C69,Food Science & Nutrition,APPLIED SCIENCES,14,2018,http://www.nyp.edu.sg/schools/scl/full-time-courses/diploma-in-food-science-and-nutrition.html,No
2019/20,NYP,C70,Game Development & Technology,INFORMATION & DIGITAL TECHNOLOGIES,14,2018,http://www.nyp.edu.sg/schools/sidm/full-time-courses/game-development-and-technology.html,No
2019/20,NYP,C71,Biomedical Engineering,ENGINEERING,15,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/biomedical-engineering.html,No
2019/20,NYP,C72,Oral Health Therapy,HEALTH SCIENCES,13,2018,http://www.nyp.edu.sg/schools/shs/full-time-courses/oral-health-therapy.html,No
2019/20,NYP,C73,Chemical & Pharmaceutical Technology,APPLIED SCIENCES,16,2018,http://www.nyp.edu.sg/schools/scl/full-time-courses/diploma-in-chemical-and-pharmaceutical-technology.html,No
2019/20,NYP,C74,Molecular Biotechnology,APPLIED SCIENCES,10,2018,http://www.nyp.edu.sg/schools/scl/full-time-courses/diploma-in-molecular-biotechnology.html,No
2019/20,NYP,C75,Multimedia & Infocomm Technology,ENGINEERING,26,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/multimedia-and-infocomm-technology.html,No
2019/20,NYP,C80,Infocomm & Security,INFORMATION & DIGITAL TECHNOLOGIES,19,2018,http://www.nyp.edu.sg/schools/sit/full-time-courses/infocomm-and-security.html,No
2019/20,NYP,C81,Sport & Wellness Management,BUSINESS & MANAGEMENT,16,2018,http://www.nyp.edu.sg/schools/sbm/full-time-courses/sports-and-wellness.html,No
2019/20,NYP,C83,Industrial Design,MEDIA & DESIGN,20,2018,http://www.nyp.edu.sg/schools/sdn/full-time-courses/industrial-design.html,No
2019/20,NYP,C85,Information Technology,INFORMATION & DIGITAL TECHNOLOGIES,18,2018,http://www.nyp.edu.sg/schools/sit/full-time-courses/information-technology.html,No
2019/20,NYP,C87,Robotics & Mechatronics,ENGINEERING,19,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/robotics-and-mechatronics.html,No
2019/20,NYP,C89,Electronic Systems,ENGINEERING,26,2018,http://www.nyp.edu.sg/schools/seg/full-time-courses/electronic-systems.html,No
2019/20,NYP,C93,Mass Media Management,BUSINESS & MANAGEMENT,14,2018,http://www.nyp.edu.sg/schools/sbm/full-time-courses/mass-media-management.html,No
2019/20,NYP,C94,Business Management,BUSINESS & MANAGEMENT,17,2018,http://www.nyp.edu.sg/schools/sbm/full-time-courses/business-management.html,No
2019/20,NYP,C96,Banking & Finance,BUSINESS & MANAGEMENT,14,2018,http://www.nyp.edu.sg/schools/sbm/full-time-courses/banking-and-finance.html,No
2019/20,NYP,C97,Nursing,HEALTH SCIENCES,26,2018,http://www.nyp.edu.sg/schools/shs/full-time-courses/nursing.html,No
2019/20,NYP,C98,Accountancy & Finance,BUSINESS & MANAGEMENT,14,2018,http://www.nyp.edu.sg/schools/sbm/full-time-courses/accountancy-and-finance.html,No
2019/20,NYP,C99,Marketing,BUSINESS & MANAGEMENT,18,2018,http://www.nyp.edu.sg/schools/sbm/full-time-courses/marketing.html,No
2019/20,NP,N40,Hotel & Leisure Facilities Management,BUILT ENVIRONMENT,13,2018,https://www.np.edu.sg/de/Pages/hlfm.aspx,No
2019/20,NP,N41,Mechanical Engineering,ENGINEERING,17,2018,https://www.np.edu.sg/soe/Pages/me.aspx,No
2019/20,NP,N42,Marine & Offshore Technology,MARITIME STUDIES,20,2018,https://www.np.edu.sg/soe/Pages/mot.aspx,No
2019/20,NP,N43,Electrical Engineering,ENGINEERING,20,2018,https://www.np.edu.sg/soe/Pages/ee.aspx,No
