COURSE_ACAD_YR,POLY,JAE_COURSE_CODE,COURSE_TITLE,JAE_COURSE_CLUSTER,JAE_ELR2B2,ELR2B2_YEAR,COURSE_URL,NEW_COURSE
2019/20,RP,R13,Business Information Systems,INFORMATION & DIGITAL TECHNOLOGIES,26,2018,https://www.rp.edu.sg/SOI/full-time-diplomas/Details/R13,No
2019/20,RP,R14,Biomedical Science,APPLIED SCIENCES,13,2018,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r14,No
2019/20,RP,R16,Biotechnology,APPLIED SCIENCES,16,2018,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r16,No
2019/20,RP,R17,Materials Science,APPLIED SCIENCES,26,2018,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r17,No
2019/20,RP,R18,Business Applications,INFORMATION & DIGITAL TECHNOLOGIES,26,2018,https://www.rp.edu.sg/SOI/full-time-diplomas/Details/r18,No
2019/20,RP,R19,Media Production & Design,MEDIA & DESIGN,21,2018,https://www.rp.edu.sg/sta/full-time-diplomas/details/r19,No
2019/20,RP,R21,Supply Chain Management,BUSINESS & MANAGEMENT,22,2018,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r21,No
2019/20,RP,R22,Pharmaceutical Science,APPLIED SCIENCES,18,2018,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r22,No
2019/20,RP,R24,Sonic Arts,MEDIA & DESIGN,20,2018,https://www.rp.edu.sg/sta/full-time-diplomas/details/r24,No
2019/20,RP,R25,Arts & Theatre Management,MEDIA & DESIGN,21,2018,https://www.rp.edu.sg/sta/full-time-diplomas/details/r25,No
2019/20,RP,R26,Sport & Exercise Science,HEALTH SCIENCES,19,2018,https://www.rp.edu.sg/shl/full-time-diplomas/details/r26,No
2019/20,RP,R27,Sport Management,BUSINESS & MANAGEMENT,26,2018,https://www.rp.edu.sg/shl/full-time-diplomas/details/r27,No
2019/20,RP,R28,Integrated Events Management,BUSINESS & MANAGEMENT,26,2018,https://www.rp.edu.sg/soh/full-time-diplomas/details/r28,No
2019/20,RP,R29,Environmental Science,APPLIED SCIENCES,26,2018,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r29,No
2019/20,RP,R32,Mass Communication,MEDIA & DESIGN,18,2018,https://www.rp.edu.sg/smc/full-time-diplomas/details/R32,No
2019/20,RP,R33,Outdoor & Adventure Learning,BUSINESS & MANAGEMENT,25,2018,https://www.rp.edu.sg/shl/full-time-diplomas/details/r33,No
2019/20,RP,R34,Customer Experience Management with Business,BUSINESS & MANAGEMENT,26,2018,https://www.rp.edu.sg/soh/full-time-diplomas/details/r34,No
2019/20,RP,R35,Game Design,MEDIA & DESIGN,20,2018,https://www.rp.edu.sg/sta/full-time-diplomas/details/r35,No
